corpus,chunk_id,region,value,position_in_text,occurrences_in_corpus,context
classical_lexicon,asas_albalagha_c0341,classical,الرّاعي,809,1,الصادي ونبذت إليه السلام والتحيّة. قال الرّاعي: فلمّا تداركنا نبذّنا تحيّةً
classical_lexicon,asas_albalagha_c0341,classical,كعب الغنويّ,3123,2,لانٌ لا ينال نبطه: لمن يوصف بالعزّ. قال كعب الغنويّ: قريب ثراه لا ينال عدوه له نب
classical_lexicon,asas_albalagha_c0341,classical,الشّعر,4176,1,عر ثم قال فأجاد ويقال: إنّ النابغةَ قال الشّعر على كبر سنّه فسمّي النّابغة و
classical_lexicon,asas_albalagha_c0342,classical,جميح الأسديّ,3666,1,شذوذ كثلاث مائة والقياس: ثلاث دجًى. قال جميح الأسديّ: تدبّ حميّاً لكأس فيهم إذا ان
classical_lexicon,asas_albalagha_c0347,classical,النابغبة,3954,1,كفّي لك بشرٍّ ولا نديت بشيء تكرهه. قال النابغبة: ما إن نديت بشيء أنت تكرهه إذ
classical_lexicon,asas_albalagha_c0350,classical,عبد الواسع,3618,1,لس لم يحرّج من ناشيء ذات شوًى خدلج وقال عبد الواسع بن أسامة الخزاميّ من بني خزام
classical_lexicon,asas_albalagha_c0352,classical,مغلس الرّبعي,187,1,الناس إني نشعت العز في أنفي نشوعاً وقال مغلس الرّبعي: خليليّ إن أصعدتما أو مررتما
classical_lexicon,asas_albalagha_c0352,classical,المتلمّس,965,2,ل مكروه النشق واستنشقتها وتنشّقتها. قال المتلمّس: وأنشقه اعلدواء وهو النشوق وأ
classical_lexicon,asas_albalagha_c0353,classical,مسكين الدرامي,552,1,ترفعها. وانتص السنام: ارتفع وانتصب. قال مسكين الدرامي: حتى علاها تامك شبّهته وانتصّ
classical_lexicon,asas_albalagha_c0357,classical,البريق الهذليّ,645,2,م عين. وله نعم كثير وأنعام وأناعيم. قال البريق الهذليّ: قد أشهد لحيّ جميعاً بها لهم
classical_lexicon,asas_albalagha_c0357,classical,زياد الأعجم,923,1,"من المجاز: "" خفّت نعامتهم "": ذهبوا. قال زياد الأعجم: إذا اخترت أرضاً للمقام رضيته"
classical_lexicon,asas_albalagha_c0357,classical,السمهريّ العكليّ,998,1,رضيتها لنفسي ولم يثقل عليّ مقامها وقال السمهريّ العكليّ: ولما استوت رجلاي في الأرض قل
classical_lexicon,asas_albalagha_c0358,classical,الشّماخ,747,1,وإنفحة جاءت بذاك إليك الأضؤن السود وقال الشّماخ: وإني من القوم الذين علمتهم إ
classical_lexicon,asas_albalagha_c0358,classical,الحارثيّ,1870,1,أنفدوا ما عندهم واستنفدوه وانتفدوه. قال الحارثيّ يصف بقرة: إذا استنفدت مرعًى ط
classical_lexicon,asas_albalagha_c0358,classical,أبّاق الدبيريّ,2075,1,نافد. ويقال: ليس له رافد ولا منافد. قال أبّاق الدبيريّ في ابنه الرّكّاض: وهو إذا ما
classical_lexicon,asas_albalagha_c0362,classical,الجعيدي,211,1,وتناقلوه وانتقلته: نقلته إلى نفسي. قال الجعيدي: ما تظنّون بقوم قتلوا أهل صفّ
classical_lexicon,asas_albalagha_c0365,classical,ليلى الأخيلية,655,2,وهذا منتهى الأمر ونهايته ومنهاته. قالت ليلى الأخيلية: ألم تعلم جزاك الله شراً بأن
classical_lexicon,asas_albalagha_c0366,classical,غير الصواب,2187,1,"وفي الحديث: "" ما نول امرئ مسلمٍ أن يقول غير الصواب "". وقال: أأن حنّ أجمالٌ وفارق"
classical_lexicon,asas_albalagha_c0368,classical,السائب,60,1,ثكلت عمراً وهاجرت المروّق والسماعا وقال السائب أخو الزبير: يا قوم جدّوا في ق
classical_lexicon,asas_albalagha_c0370,classical,المبرّد,1482,1,يّان حتى إذا ما هر وامتنع المذاقا وأنشد المبرّد: حلفت لهم والخيل تردي بنا معا
classical_lexicon,asas_albalagha_c0371,classical,جثّامة الكلبيّ,2007,1,الأعلم في البعير والأقرح في الذباب. قال جثّامة الكلبيّ: كأنّ مزاحف الهزلى صباحاً خدو
classical_lexicon,asas_albalagha_c0378,classical,زيد الخيل,3194,2,ودجان: شبّها بالعرقين في تصاحبهما. وقال زيد الخيل: فقبّحتما من وافدين اصطفيتما
classical_lexicon,asas_albalagha_c0380,classical,ثمامة السدوسيّ,772,1,وأعطاه ألف درهم ورقاً ورقةً ورقين. قال ثمامة السدوسيّ: ألا ربّ ملتاث يجرّ كساءه نفي
classical_lexicon,asas_albalagha_c0382,classical,الصميم,2096,1,اء بوشيظةٍ: بشظيّة. يخزي الوشيظ إذا قال الصميم لهم عدّوا الحصى ثم قيسوا بالم
classical_lexicon,asas_albalagha_c0383,classical,الآخر,809,1,ه داثراً سواماً وفي الأرياف أوصارا وقال الآخر يخاطب خاتمه: وما اتخذت صداماً
classical_lexicon,asas_albalagha_c0384,classical,نصف الحمار,899,1,. ومن المجاز: واضخه في السير وغيره. قال نصف الحمار وأتنه: إذا وضخ التقريب واضخن
classical_lexicon,asas_albalagha_c0386,classical,يخاطب الموت,1529,1,وفز وأنا على وفزٍ وعلى أوفاز ووفاز. قال يخاطب الموت: وهذا الخلق منك على وفاز وأرج
classical_lexicon,asas_albalagha_c0387,classical,النّمر,3513,1,قاه وتقواه وفيه تقيّاً: تصغير تقوى. قال النّمر: إني كما قد تعلمين لأتّقى تقي
classical_lexicon,asas_albalagha_c0389,classical,الأشتر,2668,1,: ومض البرق ومضاً ووميضاً وومضاناً. قال الأشتر: حمى الحديد عليهم فكأنه ومضان
classical_lexicon,asas_albalagha_c0391,classical,الذهليّ,2765,1,ة يتيمة: للرملة المنفردة من الرمال. قال الذهليّ: قوداء يحمل رحلها مثل اليتيم
